 100 0 0 0 0 0
 100 1 0 0 0 0
 100 2 1 1 1 5
 100 3 3 3 3 11
 100 4 6 6 6 19
 100 5 10 10 8 25
 100 6 15 14 12 35
 100 7 19 17 15 43
 100 8 21 21 18 51
 100 9 22 24 22 61
 100 10 43 33 27 73
 100 11 40 32 30 81
 100 12 41 43 34 91
 100 13 44 48 39 103
 100 14 65 56 43 113
 100 15 75 52 47 123
 100 16 61 59 52 135
 100 17 70 62 56 145
 100 18 84 69 62 159
 100 19 126 73 67 171
 100 20 93 102 71 181
 100 21 106 100 77 195
 100 22 144 95 82 207
 100 23 107 106 86 217
 100 24 112 121 92 231
 100 25 155 124 97 243
 100 26 137 120 102 255
 100 27 139 116 108 269
 100 28 148 147 113 281
 100 29 164 176 118 293
 100 30 190 148 124 307
 100 31 214 188 129 319
 100 32 183 158 134 331
 100 33 204 178 140 345
 100 34 188 181 147 361
 100 35 210 185 152 373
 100 36 192 201 158 387
 100 37 234 193 165 403
 100 38 246 244 170 415
 100 39 358 264 176 429
 100 40 225 218 183 445
 100 41 311 281 188 457
 100 42 301 240 194 471
 100 43 292 214 201 478
 100 44 267 250 206 499
 100 45 306 259 212 513
 100 46 335 371 219 529
 100 47 384 243 224 541
 100 48 294 302 230 555
 100 49 328 276 237 571
 100 50 318 316 243 585
 100 51 381 360 249 599
 100 52 385 292 256 615
 100 53 391 308 262 629
 100 54 374 386 268 643
 100 55 415 372 275 659
 100 56 437 331 281 673
 100 57 395 335 287 687
 100 58 430 354 294 703
 100 59 380 373 300 717
 100 60 402 404 306 731
 100 61 465 356 313 747
 100 62 670 395 319 761
 100 63 522 421 325 775
 100 64 497 468 332 791
 100 65 533 440 338 805
 100 66 588 489 346 823
 100 67 570 507 353 839
 100 68 523 412 359 853
 100 69 659 416 367 871
 100 70 781 464 374 887
 100 71 608 464 380 901
 100 72 628 486 388 919
 100 73 613 459 395 935
 100 74 814 484 401 949
 100 75 758 483 409 967
 100 76 663 486 416 983
 100 77 597 556 422 997
 100 78 679 561 430 1015
 100 79 831 575 437 1031
 100 80 775 567 443 1045
 100 81 780 526 451 1063
 100 82 759 594 458 1079
 100 83 875 540 464 1093
 100 84 742 606 472 1111
 100 85 694 599 479 1127
 100 86 941 574 485 1141
 100 87 764 739 493 1159
 100 88 799 647 500 1175
 100 89 917 705 506 1189
 100 90 899 612 514 1207
 100 91 846 789 521 1223
 100 92 808 681 527 1237
 100 93 882 704 535 1255
 100 94 761 689 542 1271
 100 95 874 828 548 1285
 100 96 918 849 556 1303
 100 97 874 632 563 1319
 100 98 912 986 570 1335
 100 99 871 813 578 1353
 100 100 1041 660 585 1369
  
