 100 0 0 0
 100 1 0 0
 100 2 1 1
 100 3 3 3
 100 4 6 6
 100 5 10 10
 100 6 12 13
 100 7 17 14
 100 8 20 21
 100 9 31 24
 100 10 26 30
 100 11 41 37
 100 12 58 42
 100 13 49 54
 100 14 60 60
 100 15 58 67
 100 16 67 56
 100 17 70 67
 100 18 84 69
 100 19 83 90
 100 20 92 87
 100 21 105 100
 100 22 114 112
 100 23 147 100
 100 24 122 132
 100 25 124 119
 100 26 148 124
 100 27 152 134
 100 28 151 153
 100 29 154 169
 100 30 180 186
 100 31 157 164
 100 32 225 185
 100 33 184 196
 100 34 234 168
 100 35 272 209
 100 36 224 202
 100 37 194 265
 100 38 276 278
 100 39 285 204
 100 40 236 217
 100 41 338 217
 100 42 295 240
 100 43 289 238
 100 44 382 289
 100 45 283 251
 100 46 344 260
 100 47 310 279
 100 48 309 288
 100 49 378 266
 100 50 444 300
 100 51 397 298
 100 52 342 304
 100 53 393 361
 100 54 493 357
 100 55 458 381
 100 56 466 387
 100 57 386 420
 100 58 400 330
 100 59 355 345
 100 60 514 366
 100 61 491 405
 100 62 470 421
 100 63 557 441
 100 64 530 460
 100 65 563 387
 100 66 479 435
 100 67 563 409
 100 68 587 452
 100 69 673 482
 100 70 563 422
 100 71 520 530
 100 72 641 483
 100 73 591 489
 100 74 604 483
 100 75 563 558
 100 76 638 562
 100 77 570 594
 100 78 602 480
 100 79 660 582
 100 80 681 520
 100 81 652 609
 100 82 568 627
 100 83 749 589
 100 84 756 576
 100 85 873 627
 100 86 783 530
 100 87 764 662
 100 88 982 643
 100 89 740 742
 100 90 833 684
 100 91 814 745
 100 92 745 656
 100 93 777 680
 100 94 725 638
 100 95 1017 767
 100 96 781 697
 100 97 877 730
 100 98 847 796
 100 99 930 724
 100 100 842 748
 
