70 1 70 17 1
70 2 139 55 2
70 3 207 68 3
70 4 274 135 4
70 5 340 106 5
70 6 405 363 6
70 7 469 210 7
70 8 532 262 8
70 9 594 374 9
70 10 655 335 10
70 11 715 287 11
70 12 774 448 12
70 13 832 549 13
70 14 889 375 14
70 15 945 602 15
70 16 1000 531 16
70 17 1054 601 17
70 18 1107 629 18
70 19 1159 691 19
70 20 1210 658 20
70 21 1260 762 21
70 22 1309 891 22
70 23 1357 882 23
70 24 1404 787 24
70 25 1450 836 25
70 26 1495 872 26
70 27 1539 975 27
70 28 1582 920 28
70 29 1624 929 29
70 30 1665 1000 30
70 31 1705 1098 31
70 32 1744 1152 32
70 33 1782 1212 33
70 34 1819 1457 34
70 35 1855 1325 35
70 36 1890 1359 36
70 37 1924 1283 37
70 38 1957 1391 38
70 39 1989 1419 39
70 40 2020 1424 40
70 41 2050 1517 41
70 42 2079 1477 42
70 43 2107 1591 43
70 44 2134 1656 44
70 45 2160 1666 45
70 46 2185 1621 46
70 47 2209 1763 47
70 48 2232 1546 48
70 49 2254 1668 49
70 50 2275 1781 50
70 51 2295 1751 51
70 52 2314 1885 52
70 53 2332 1854 53
70 54 2349 1872 54
70 55 2365 1895 55
70 56 2380 2129 56
70 57 2394 1977 57
70 58 2407 2090 58
70 59 2419 2059 59
70 60 2430 2138 60
70 61 2440 2139 61
70 62 2449 2167 62
70 63 2457 2272 63
70 64 2464 2281 64
70 65 2470 2281 65
70 66 2475 2346 66
70 67 2479 2363 67
70 68 2482 2417 68
70 69 2484 2461 69
70 70 2485 2485 70
